rating,name,score,hackscore,total
1,anrao3,9,4,13
2,baicheng,12,0,12
3,aosaliu,10,0,10
4,phillip,10,0,10
5,khlin,10,0,10
6,jmromero,10,0,10
7,afuchs2,8,0,8
8,aritrapa,8,0,8
9,shawnmam,8,0,8
10,taktukta,7,0,7
11,ryandils,5,2,7
12,calvinji,7,0,7
13,rpan,7,0,7
14,rdonalds,2,4,6
15,ylin69,6,0,6
16,dooskington,4,2,6
17,mrproy,6,0,6
18,anarghya,6,0,6
19,hanabash,6,0,6
20,heeborum,5,0,5
21,jackyeng,5,0,5
22,most_juanted,5,0,5
23,owentorr,5,0,5
24,kevintop,5,0,5
25,jaclemon,3,2,5
26,piwaszko,5,0,5
27,wendyshi,5,0,5
28,dstarner,5,0,5
29,halaalfa,5,0,5
30,wilsonaar,3,2,5
31,ewalk,5,0,5
32,yingyinl,5,0,5
33,chin,4,0,4
34,jherc127,4,0,4
35,jwong48,4,0,4
36,jasleena,4,0,4
37,anandimous,2,2,4
38,ericbusc,4,0,4
39,sultanol,4,0,4
40,tryhard,2,2,4
41,thharian,4,0,4
42,dbosah,4,0,4
43,macdonalds,4,0,4
44,zwagner,4,0,4
45,mmorgent,4,0,4
46,lawreenl,4,0,4
47,gibbsy,4,0,4
48,kokhaoyo,4,0,4
49,garyyeun,3,0,3
50,toyosi,3,0,3
51,dlaskama,3,0,3
52,jasjeeva,3,0,3
53,agolden2,3,0,3
54,kwang32,3,0,3
55,ksrayava,3,0,3
56,mastershefu,1,2,3
57,baknight,3,0,3
58,vitogalv,3,0,3
59,peterpin,3,0,3
60,mthafeez,3,0,3
61,liua2021,3,0,3
62,hansbas,3,0,3
63,iansong,3,0,3
64,ssmarcha,3,0,3
65,iwanders,2,0,2
66,vsingh24,2,0,2
67,wp26,2,0,2
68,ewong23,2,0,2
69,hennings,2,0,2
70,gamalamin,2,0,2
71,jmsiegel,2,0,2
72,royrishiroy,2,0,2
73,jpmiller,2,0,2
74,ncumbo,2,0,2
75,jjwidric,2,0,2
76,evanchen,2,0,2
77,knjames,2,0,2
78,aamelunia,2,0,2
79,mjkirshy,2,0,2
80,chenran,2,0,2
81,kyleskom,2,0,2
82,pat_jones,2,0,2
83,doris,2,0,2
84,chimaobi,2,0,2
85,hannahwl,2,0,2
86,haemanthi,2,0,2
87,rubix,2,0,2
88,minseoki,2,0,2
89,sriniketh,2,0,2
90,frank,2,0,2
91,caseydol,2,0,2
92,jmorrow2,2,0,2
93,degoldbe,2,0,2
94,alexperr,2,0,2
95,gjbunyea,2,0,2
96,mertatki,2,0,2
97,tmsherwo,2,0,2
98,shreya,2,0,2
99,awoloszy,2,0,2
100,lieselva,2,0,2
101,arturo,2,0,2
102,jglickma,2,0,2
103,jaynarendrashah,0,2,2
104,ibuc37,2,0,2
105,nbarrios1337,2,0,2
106,jackhale,2,0,2
107,samraatg,2,0,2
108,montanaq,2,0,2
109,adamkantor,2,0,2
110,hhuang42,1,0,1
111,himanivi,1,0,1
112,brettkol,1,0,1
113,weijinzh,1,0,1
114,zsmoore,1,0,1
115,varunshi,1,0,1
116,likhith,1,0,1
117,klaschinger,1,0,1
118,chriskuczko,1,0,1
119,morshedu,1,0,1
120,eithneam,1,0,1
121,msillah,1,0,1
122,asoni,1,0,1
123,mta5,1,0,1
124,urjitha,1,0,1
125,acintron,1,0,1
126,mahiaash,1,0,1
127,sjdeck,1,0,1
128,sravanika,1,0,1
129,shrishty,1,0,1
130,bread_baker,1,0,1
131,mmaruf,1,0,1
132,lisakanb,1,0,1
133,marketsu,1,0,1
134,j_grogan4,1,0,1
135,mjwattle,1,0,1
136,sfung3,1,0,1
137,cngolden,1,0,1
138,yusong,1,0,1
139,eweinman,1,0,1
140,jshi8,1,0,1
141,corychai,1,0,1
142,ahunt,1,0,1
143,shlutz,1,0,1
144,ameyer,1,0,1
145,levyshi,1,0,1
146,drake,1,0,1
147,rajeevgu,1,0,1
148,airloaf,1,0,1
149,arogers7,1,0,1
150,dakota0064,1,0,1
151,raselahm,1,0,1
152,connorm,1,0,1
153,mdeng5,1,0,1
154,nppasqua,1,0,1
155,abaileyva,1,0,1
156,jaylligu,1,0,1
157,kmenon,1,0,1
158,grant24,1,0,1
159,zackbowe,1,0,1
160,bhaskar4,1,0,1
161,krobledo,1,0,1
162,ltarnowb,1,0,1
163,pasumart,1,0,1
164,pururval,1,0,1
165,juhmall,1,0,1
166,claire1107liu,1,0,1
167,jhhunter,1,0,1
168,rhughes3,1,0,1
169,bhasin,1,0,1
170,dwdelacr,1,0,1
171,ishmam_nur,1,0,1
172,pjjones,1,0,1
173,lepetic,1,0,1
174,jpaxon,1,0,1
175,rwang29,1,0,1
176,mugdhami,1,0,1
177,wenjunsh,1,0,1
178,cdhutchi,1,0,1
179,sdileto,1,0,1
180,jasonniu,1,0,1
181,aaron,1,0,1
182,nikkin,1,0,1
183,chaoping,1,0,1
184,rapatel4,1,0,1
185,orkosinh,1,0,1
186,hanoody,1,0,1
187,walenore,1,0,1
188,clmonnon,1,0,1
189,hsokhey,1,0,1
190,nkhalid,1,0,1
191,sanchitb,1,0,1
192,syang,1,0,1
193,jjklein2,1,0,1
